Day,MoveSpeed,MaxEnergy,Size,SensorProbability,SensorSize,WarningRange,EntityID
100,4,115,1.25092,0.828976,18.06843,8.068431,134
100,4,99,0.6775184,0.8504006,16.59229,6.592289,139
100,2,100,1.176248,0.8688593,18.23745,8.237453,142
100,1,96,0.7252649,0.3555532,17.40138,7.40138,145
100,3,105,0.9170988,0.8343081,24.74541,14.74541,148
100,5,96,0.7158169,0.9426494,19.80119,9.801185,151
100,1,106,1.257672,0.2588475,16.16769,6.167693,154
100,2,99,1.080476,0.9348468,21.24966,11.24966,157
100,3,117,1.027695,0.3413643,23.16673,13.16673,160
100,1,105,1.083886,0.4958932,16.81559,6.815591,163
100,3,102,1.217083,0.8162439,24.3829,14.3829,166
100,4,88,0.9699467,0.01977575,21.45627,11.45627,169
100,4,114,0.9613812,0.7507944,24.73524,14.73524,237
100,5,85,0.9187589,0.7606885,16.44795,6.447947,240
100,5,103,0.9383187,0.6275201,22.73766,12.73766,243
100,4,105,1.117594,0.0311563,17.85997,7.859972,246
100,3,105,0.7725021,0.7972552,20.86378,10.86378,249
100,3,116,0.9484172,0.264966,19.62486,9.624861,252
100,2,87,0.8225773,0.3862581,24.898,14.898,255
100,5,101,1.007249,0.1970199,16.11444,6.114437,258
200,4,115,1.430447,0.828976,18.06843,8.068431,134
200,4,99,0.7640716,0.8504006,16.59229,6.592289,139
200,2,100,1.326514,0.8688593,18.23745,8.237453,142
200,1,96,0.849542,0.3555532,17.40138,7.40138,145
200,3,105,1.034259,0.8343081,24.74541,14.74541,148
200,5,96,0.8072628,0.9426494,19.80119,9.801185,151
200,1,106,1.488711,0.2588475,16.16769,6.167693,154
200,2,99,1.218507,0.9348468,21.24966,11.24966,157
200,3,117,1.203794,0.3413643,23.16673,13.16673,160
200,1,105,1.269614,0.4958932,16.81559,6.815591,163
200,3,102,1.391754,0.8162439,24.3829,14.3829,166
200,4,88,1.159241,0.01977575,21.45627,11.45627,169
200,4,114,1.099355,0.7507944,24.73524,14.73524,237
200,5,85,1.050616,0.7606885,16.44795,6.447947,240
200,5,103,1.086574,0.6275201,22.73766,12.73766,243
200,4,105,1.335702,0.0311563,17.85997,7.859972,246
200,3,105,0.8833686,0.7972552,20.86378,10.86378,249
200,3,116,1.122645,0.264966,19.62486,9.624861,252
200,2,87,0.9635292,0.3862581,24.898,14.898,255
200,5,101,1.192284,0.1970199,16.11444,6.114437,258
