Day,MoveSpeed,MaxEnergy,Size,SensorProbability,EntityID
100,4.12137,94,0.7904137,0.3376718,417
100,1.37379,87,0.7482985,0.3237554,420
100,2.74758,119,1.320409,0.2767173,423
100,1.37379,88,1.296723,0.09421086,426
100,1.37379,115,1.077083,0.2571181,429
100,1.37379,116,1.159655,0.1858263,432
100,4.12137,107,0.8627531,0.3286407,435
100,1.37379,81,0.9954661,0.09893632,438
100,5.49516,94,0.7099884,0.223487,441
100,6.86895,109,0.8093632,0.8319843,444
100,2.74758,83,0.872966,0.09616446,447
100,6.86895,94,1.246595,0.5246244,450
100,6.86895,96,0.7882538,0.2491058,453
100,6.86895,96,1.103397,0.3243129,456
100,1.37379,90,0.8225212,0.695747,459
100,6.86895,100,0.7495725,0.5680824,462
100,4.12137,114,0.6934053,0.03261089,465
100,6.86895,114,1.185796,0.6868085,468
100,5.49516,83,1.251541,0.3244336,375
100,2.74758,97,0.8906642,0.8108954,378
100,2.74758,82,1.34927,0.1994945,381
100,2.74758,113,1.181176,0.5864894,384
100,1.37379,99,1.03428,0.7563895,387
100,2.74758,93,0.9911036,0.05104947,390
100,4.12137,112,1.264213,0.6855369,393
100,5.49516,85,0.7282941,0.7264618,396
100,4.12137,109,0.8649349,0.3534517,399
100,2.74758,81,0.8981009,0.8098536,402
100,2.74758,115,1.254084,0.236904,405
100,1.37379,90,1.098113,0.4532027,408
100,1.37379,80,1.120716,0.776053,411
100,2.74758,114,1.377922,0.2363914,414
100,6.86895,84,1.030103,0.5855431,321
100,2.74758,99,1.208801,0.27697,324
100,5.49516,115,1.3067,0.5445103,327
100,2.74758,84,1.374543,0.9674028,330
100,2.74758,117,1.363692,0.02681863,333
100,2.74758,113,1.044195,0.1976707,336
100,2.74758,89,1.272064,0.4183965,339
100,6.86895,105,1.044883,0.2060201,342
100,2.74758,96,0.9225032,0.7433408,345
100,1.37379,81,0.7429161,0.1108594,348
100,1.37379,91,0.731429,0.07893991,351
100,1.37379,119,0.8372497,0.8486212,354
100,4.12137,99,1.298902,0.8252647,357
100,6.86895,90,1.291671,0.1437521,360
100,1.37379,85,0.8955705,0.94612,363
100,4.12137,93,0.9599084,0.5418497,366
100,6.86895,98,0.7745199,0.5663188,369
100,1.37379,84,1.12012,0.5586002,372
200,5.3535,94,0.8561259,0.3376718,417
200,1.7845,87,0.8105094,0.3237554,420
200,3.569,119,1.430183,0.2767173,423
200,1.7845,88,1.404528,0.09421086,426
200,1.7845,115,1.166628,0.2571181,429
200,1.7845,116,1.256065,0.1858263,432
200,5.3535,107,0.9344794,0.3286407,435
200,1.7845,81,1.078226,0.09893632,438
200,7.138,94,0.7690144,0.223487,441
200,8.9225,109,0.8766509,0.8319843,444
200,3.569,83,0.9455413,0.09616446,447
200,8.9225,94,1.350232,0.5246244,450
200,8.9225,96,0.8537865,0.2491058,453
200,8.9225,96,1.19513,0.3243129,456
200,1.7845,90,0.8909026,0.695747,459
200,8.9225,100,0.8118893,0.5680824,462
200,5.3535,114,0.7510526,0.03261089,465
200,8.9225,114,1.284379,0.6868085,468
200,7.138,83,1.35559,0.3244336,375
200,3.569,97,0.9647108,0.8108954,378
200,3.569,82,1.461443,0.1994945,381
200,3.569,113,1.279374,0.5864894,384
200,1.7845,99,1.120266,0.7563895,387
200,3.569,93,1.073501,0.05104947,390
200,5.3535,112,1.369315,0.6855369,393
200,7.138,85,0.7888418,0.7264618,396
200,5.3535,109,0.9368425,0.3534517,399
200,3.569,81,0.9727659,0.8098536,402
200,3.569,115,1.358344,0.236904,405
200,1.7845,90,1.189407,0.4532027,408
200,1.7845,80,1.213889,0.776053,411
200,3.569,114,1.492477,0.2363914,414
200,8.9225,84,1.115742,0.5855431,321
200,3.569,99,1.309297,0.27697,324
200,7.138,115,1.415335,0.5445103,327
200,3.569,84,1.488818,0.9674028,330
200,3.569,117,1.477064,0.02681863,333
200,3.569,113,1.131006,0.1976707,336
200,3.569,89,1.377818,0.4183965,339
200,8.9225,105,1.131751,0.2060201,342
200,3.569,96,0.9991969,0.7433408,345
200,1.7845,81,0.8046795,0.1108594,348
200,1.7845,91,0.7922374,0.07893991,351
200,1.7845,119,0.9068557,0.8486212,354
200,5.3535,99,1.406888,0.8252647,357
200,8.9225,90,1.399055,0.1437521,360
200,1.7845,85,0.970025,0.94612,363
200,5.3535,93,1.039712,0.5418497,366
200,8.9225,98,0.8389108,0.5663188,369
200,1.7845,84,1.213243,0.5586002,372
