Day,MoveSpeed,MaxEnergy,Size,SensorProbability,SensorSize,WarningRange,EntityID
100,4,113,0.9948751,0.3080081,15.5501,5.550097,497
100,2,116,0.9810837,0.8063616,16.88018,6.880182,500
100,4,88,0.7520281,0.9827281,22.31552,12.31552,503
100,1,92,0.7030657,0.1756573,24.6774,14.6774,506
100,3,110,1.071815,0.4319056,22.88706,12.88706,509
100,3,86,0.9560552,0.7386817,20.37474,10.37474,512
100,1,112,1.086996,0.2126855,18.68113,8.681128,515
100,3,89,0.7549633,0.7087049,15.24134,5.241336,518
100,1,87,1.021369,0.3730819,20.01449,10.01449,521
100,1,102,0.848757,0.9548072,21.19052,11.19052,524
100,1,88,0.9262278,0.1038113,22.40624,12.40624,527
100,1,107,1.027637,0.1269853,17.756,7.756001,530
100,5,109,1.118262,0.1276948,20.70833,10.70833,533
100,4,112,0.7224488,0.74126,20.49969,10.49969,536
100,4,104,0.7893568,0.8485962,16.05745,6.057451,539
100,1,105,0.8627665,0.9049619,22.30633,12.30633,542
100,5,101,1.053185,0.8292587,20.5808,10.5808,545
100,3,116,1.349061,0.6800367,15.03488,5.034884,548
100,5,116,1.076072,0.6989132,23.27335,13.27335,455
100,3,116,1.192031,0.08081031,18.25214,8.252136,458
100,1,116,1.213294,0.6348436,20.67104,10.67104,461
100,2,106,0.9193077,0.05166054,24.34575,14.34575,464
100,3,101,1.213161,0.5324177,19.02826,9.028256,467
100,3,119,0.8589163,0.5641084,19.19406,9.194061,470
100,2,91,1.09078,0.5134401,16.24949,6.249485,473
100,4,91,0.907087,0.5251949,22.35226,12.35226,476
100,4,101,1.027072,0.01429379,18.65396,8.653962,479
100,5,115,1.153806,0.8887751,20.01543,10.01543,482
100,5,98,1.10028,0.8249663,23.7443,13.74431,485
100,3,94,1.231808,0.6564316,21.56934,11.56934,488
100,2,99,0.7693968,0.8481505,17.56084,7.560837,491
100,5,106,1.061858,0.7162662,21.01492,11.01492,494
100,5,107,0.8096893,0.8077345,21.07262,11.07262,399
100,2,89,0.8630394,0.2303675,20.10021,10.10021,404
100,4,108,1.073512,0.6563694,18.36079,8.360789,407
100,1,88,0.7476845,0.3662077,21.82281,11.82282,410
100,4,106,0.694676,0.2321122,17.37535,7.375345,413
100,5,117,1.270173,0.6757109,24.20688,14.20688,416
100,5,105,0.8134583,0.9842359,18.387,8.386995,419
100,3,106,0.8986704,0.7930899,24.7738,14.7738,422
100,5,109,0.7197448,0.2156968,19.3787,9.3787,425
100,4,90,0.6681373,0.2253854,21.94121,11.94121,428
100,2,98,1.099954,0.1688424,23.66403,13.66403,431
100,5,114,0.7326727,0.3986836,20.37771,10.37771,434
100,5,110,1.188101,0.8522104,24.04522,14.04522,437
100,5,103,1.073,0.8084794,20.60886,10.60886,440
100,5,108,1.219244,0.8029696,15.8486,5.848603,443
100,4,96,0.7423502,0.6564137,17.54484,7.544837,446
100,4,103,0.87442,0.5377874,20.30743,10.30743,449
100,5,95,1.041233,0.1871003,22.25101,12.25101,452
200,4,113,1.126052,0.3080081,15.5501,5.550097,497
200,2,116,1.066804,0.8063616,16.88018,6.880182,500
200,4,88,0.8047137,0.9827281,22.31552,12.31552,503
200,1,92,0.7957665,0.1756573,24.6774,14.6774,506
200,3,110,1.198429,0.4319056,22.88706,12.88706,509
200,3,86,1.039589,0.7386817,20.37474,10.37474,512
200,1,112,1.230319,0.2126855,18.68113,8.681128,515
200,3,89,0.8209268,0.7087049,15.24134,5.241336,518
200,1,87,1.142024,0.3730819,20.01449,10.01449,521
200,1,102,0.9082192,0.9548072,21.19052,11.19052,524
200,1,88,1.06018,0.1038113,22.40624,12.40624,527
200,1,107,1.176255,0.1269853,17.756,7.756001,530
200,5,109,1.279987,0.1276948,20.70833,10.70833,533
200,4,112,0.7855713,0.74126,20.49969,10.49969,536
200,4,104,0.8446575,0.8485962,16.05745,6.057451,539
200,1,105,0.9232101,0.9049619,22.30633,12.30633,542
200,5,101,1.145205,0.8292587,20.5808,10.5808,545
200,3,116,1.466932,0.6800367,15.03488,5.034884,548
200,5,116,1.170092,0.6989132,23.27335,13.27335,455
200,3,116,1.364424,0.08081031,18.25214,8.252136,458
