Day,MoveSpeed,MaxEnergy,Size,SensorProbability,SensorSize,WarningRange,EntityID
100,3,113,0.9667867,0.7813718,19.45982,9.459823,134
100,2,117,1.209759,0.01099265,18.35403,8.354031,139
100,2,107,0.9964226,0.2329532,22.26871,12.26871,142
100,4,116,0.7840063,0.04709601,16.02708,6.02708,145
100,5,94,1.114285,0.2803731,24.1816,14.1816,148
100,3,90,0.8484253,0.9636704,19.86869,9.868686,151
100,4,99,0.7627974,0.8879809,18.48808,8.488079,154
100,3,88,0.816876,0.2698349,17.85539,7.855386,157
100,5,110,0.831233,0.06429601,23.98138,13.98138,160
100,5,95,1.091692,0.2470273,21.06677,11.06677,163
100,3,81,1.126423,0.8783526,21.8471,11.8471,166
100,2,114,0.8194799,0.8951352,19.31544,9.315443,169
100,1,119,1.259494,0.5951782,24.69002,14.69002,237
100,1,90,0.7846595,0.0876286,19.44134,9.441341,240
100,5,105,0.742349,0.6983832,18.74904,8.749043,243
100,3,114,0.8266538,0.7307655,23.73531,13.73531,246
100,2,84,0.9685478,0.4202835,22.5934,12.5934,249
100,4,94,0.9789023,0.6701867,22.91444,12.91444,252
100,2,99,0.6722194,0.8450526,22.63841,12.63841,255
100,3,95,0.9904209,0.6406325,23.23226,13.23226,258
200,3,113,1.111477,0.7813718,19.45982,9.459823,134
200,2,117,1.452494,0.01099265,18.35403,8.354031,139
200,2,107,1.18509,0.2329532,22.26871,12.26871,142
200,4,116,0.9413148,0.04709601,16.02708,6.02708,145
200,5,94,1.325269,0.2803731,24.1816,14.1816,148
200,3,90,0.9621824,0.9636704,19.86869,9.868686,151
200,4,99,0.8650734,0.8879809,18.48808,8.488079,154
200,3,88,0.9715469,0.2698349,17.85539,7.855386,157
200,5,110,0.9980174,0.06429601,23.98138,13.98138,160
200,5,95,1.298398,0.2470273,21.06677,11.06677,163
200,3,81,1.277454,0.8783526,21.8471,11.8471,166
200,2,114,0.929356,0.8951352,19.31544,9.315443,169
200,1,119,1.466013,0.5951782,24.69002,14.69002,237
200,1,90,0.9420991,0.0876286,19.44134,9.441341,240
200,5,105,0.8534498,0.6983832,18.74904,8.749043,243
200,3,114,0.9503717,0.7307655,23.73531,13.73531,246
200,2,84,1.140131,0.4202835,22.5934,12.5934,249
200,4,94,1.125406,0.6701867,22.91444,12.91444,252
200,2,99,0.7623508,0.8450526,22.63841,12.63841,255
200,3,95,1.15282,0.6406325,23.23226,13.23226,258
300,3,113,1.111477,0.7813718,19.45982,9.459823,134
300,2,117,1.452494,0.01099265,18.35403,8.354031,139
300,2,107,1.18509,0.2329532,22.26871,12.26871,142
300,4,116,0.9413148,0.04709601,16.02708,6.02708,145
300,5,94,1.325269,0.2803731,24.1816,14.1816,148
300,3,90,0.9621824,0.9636704,19.86869,9.868686,151
300,4,99,0.8650734,0.8879809,18.48808,8.488079,154
300,3,88,0.9715469,0.2698349,17.85539,7.855386,157
300,5,110,0.9980174,0.06429601,23.98138,13.98138,160
300,5,95,1.298398,0.2470273,21.06677,11.06677,163
300,3,81,1.277454,0.8783526,21.8471,11.8471,166
300,2,114,0.929356,0.8951352,19.31544,9.315443,169
300,1,119,1.466013,0.5951782,24.69002,14.69002,237
300,1,90,0.9420991,0.0876286,19.44134,9.441341,240
300,5,105,0.8534498,0.6983832,18.74904,8.749043,243
300,3,114,0.9503717,0.7307655,23.73531,13.73531,246
300,2,84,1.140131,0.4202835,22.5934,12.5934,249
300,4,94,1.125406,0.6701867,22.91444,12.91444,252
300,2,99,0.7623508,0.8450526,22.63841,12.63841,255
300,3,95,1.15282,0.6406325,23.23226,13.23226,258
300,3,81,1.001225,0.8783526,21.8471,11.8471,385
300,2,114,0.7283977,0.8951352,19.31544,9.315443,388
300,2,99,0.5975047,0.8450526,22.63841,12.63841,391
300,2,84,0.8165883,0.4202835,22.5934,12.5934,395
300,4,99,0.6780152,0.8879809,18.48808,8.488079,382
300,3,113,0.8433642,0.7813718,19.45982,9.459823,378
300,5,105,0.6475788,0.6983832,18.74904,8.749043,397
300,3,114,0.721121,0.7307655,23.73531,13.73531,400
300,4,94,0.8539332,0.6701867,22.91444,12.91444,403
300,1,119,1.079542,0.5951782,24.69002,14.69002,380
300,3,95,0.8489131,0.6406325,23.23226,13.23226,409
300,2,107,0.8271961,0.2329532,22.26871,12.26871,407
300,2,107,0.8271961,0.2329532,22.26871,12.26871,418
300,5,94,0.9250418,0.2803731,24.1816,14.1816,421
300,5,94,0.9250418,0.2803731,24.1816,14.1816,424
300,3,88,0.6781427,0.2698349,17.85539,7.855386,427
300,3,88,0.6781427,0.2698349,17.85539,7.855386,430
300,5,95,0.9062859,0.2470273,21.06677,11.06677,433
300,5,95,0.9062859,0.2470273,21.06677,11.06677,436
300,2,117,0.9897985,0.01099265,18.35403,8.354031,413
300,2,117,0.9897985,0.01099265,18.35403,8.354031,442
