Day,MoveSpeed,MaxEnergy,Size,SensorProbability,EntityID
100,0.85996,84,0.7786747,0.8591253,108
100,2.91993,109,1.041944,0.7772989,113
100,3.47984,97,0.9811317,0.04360247,116
100,3.67588,101,1.315772,0.7364462,119
100,1.30443,118,1.166778,0.8930435,122
100,5.2052,84,1.147224,0.4698705,125
100,1.78694,81,0.9907753,0.003690004,128
100,7.11184,100,1.299825,0.6965138,131
100,7.52628,86,1.320123,0.5143954,134
100,5.03157,116,1.265535,0.6224113,137
100,0.67034,80,0.6946442,0.1477731,140
100,0.38601,109,0.744848,0.7663152,143
100,1.11117,98,0.7299948,0.5105324,146
100,0.32011,99,0.6834313,0.1048343,149
100,1.49384,104,0.9362489,0.4394191,152
100,1.06286,111,1.07048,0.6501575,155
100,2.49912,112,0.8697421,0.02861738,158
100,1.51551,82,1.207667,0.1849124,161
100,4.27528,108,1.084627,0.915104,164
100,1.45935,83,0.8051702,0.544087,167
