Day,MoveSpeed,MaxEnergy,Size,SensorProbability,EntityID
100,1.46996,117,1.26011,0.2340963,287
100,7.3498,96,0.8107761,0.7633542,290
100,2.93992,108,1.101726,0.9995645,293
100,4.40988,97,1.050268,0.5989156,296
100,7.3498,93,1.021426,0.7863932,299
100,7.3498,89,0.9012664,0.08321011,302
100,1.46996,115,0.8603045,0.8453662,305
100,5.87984,101,1.325187,0.1104159,308
100,5.87984,91,1.282062,0.06995416,311
100,7.3498,80,0.9195433,0.3296434,314
100,5.87984,99,1.251244,0.2778594,317
100,7.3498,97,1.317792,0.8401837,320
100,1.46996,118,1.273106,0.4610686,323
100,7.3498,85,0.7390109,0.01293218,326
100,4.40988,117,0.9347531,0.4911748,329
100,2.93992,101,1.082669,0.08136773,332
100,1.46996,119,0.9123989,0.1712083,335
100,1.46996,99,0.7081406,0.2721343,338
100,5.87984,112,0.9187182,0.9963582,245
100,7.3498,115,0.9270818,0.8739235,248
100,1.46996,106,0.8021553,0.02659023,251
100,7.3498,97,1.150625,0.1235412,254
100,2.93992,99,0.7986004,0.6931323,257
100,5.87984,82,1.225573,0.3011333,260
100,7.3498,102,1.19845,0.6552078,263
100,7.3498,88,1.28731,0.3642443,266
100,2.93992,103,0.7382385,0.6538718,269
100,5.87984,108,0.9345672,0.3417764,272
100,2.93992,116,0.9643187,0.2294766,275
100,5.87984,85,1.073417,0.5663604,278
100,1.46996,97,0.7067351,0.8017954,281
100,1.46996,80,0.733026,0.3137285,284
100,4.40988,104,0.7150723,0.6529527,124
100,4.40988,89,1.255695,0.02015483,129
100,1.46996,112,0.9325599,0.7082632,132
100,4.40988,97,1.360243,0.9241724,135
100,4.40988,101,1.397941,0.1037982,138
100,7.3498,107,1.144638,0.6428367,141
100,7.3498,119,0.7660349,0.01841283,144
100,4.40988,109,0.7385088,0.8577317,147
100,4.40988,86,1.330123,0.05992544,150
100,4.40988,84,1.33117,0.8623433,153
100,4.40988,98,1.042813,0.01671481,156
100,1.46996,84,0.8902991,0.9889257,159
100,1.46996,108,1.144226,0.5858607,162
100,5.87984,104,0.974335,0.09758437,165
100,5.87984,96,0.8322259,0.7042558,168
100,5.87984,117,0.8336629,0.6721589,236
100,2.93992,113,1.141808,0.7694027,239
100,5.87984,80,1.060487,0.3532146,242
200,1.78579,117,1.338976,0.2340963,287
200,8.928949,96,0.8615198,0.7633542,290
200,3.57158,108,1.170679,0.9995645,293
200,5.35737,97,1.116,0.5989156,296
200,8.928949,93,1.085353,0.7863932,299
200,8.928949,89,0.9576736,0.08321011,302
200,1.78579,115,0.9141481,0.8453662,305
200,7.14316,101,1.408126,0.1104159,308
200,7.14316,91,1.362302,0.06995416,311
200,8.928949,80,0.9770944,0.3296434,314
200,7.14316,99,1.329555,0.2778594,317
200,8.928949,97,1.400269,0.8401837,320
200,1.78579,118,1.352785,0.4610686,323
200,8.928949,85,0.7852631,0.01293218,326
200,5.35737,117,0.9932562,0.4911748,329
200,3.57158,101,1.150429,0.08136773,332
200,1.78579,119,0.9695029,0.1712083,335
200,1.78579,99,0.7524607,0.2721343,338
200,7.14316,112,0.9762177,0.9963582,245
200,8.928949,115,0.9851047,0.8739235,248
200,1.78579,106,0.8523594,0.02659023,251
200,8.928949,97,1.222639,0.1235412,254
200,3.57158,99,0.8485821,0.6931323,257
200,7.14316,82,1.302278,0.3011333,260
200,8.928949,102,1.273457,0.6552078,263
200,8.928949,88,1.367878,0.3642443,266
200,3.57158,103,0.7844423,0.6538718,269
200,7.14316,108,0.9930586,0.3417764,272
200,3.57158,116,1.024672,0.2294766,275
200,7.14316,85,1.140598,0.5663604,278
200,1.78579,97,0.7509672,0.8017954,281
200,1.78579,80,0.7789037,0.3137285,284
200,5.35737,104,0.7598263,0.6529527,124
200,5.35737,89,1.334285,0.02015483,129
200,1.78579,112,0.9909257,0.7082632,132
200,5.35737,97,1.445376,0.9241724,135
200,5.35737,101,1.485433,0.1037982,138
200,8.928949,107,1.216277,0.6428367,141
200,8.928949,119,0.8139784,0.01841283,144
200,5.35737,109,0.7847296,0.8577317,147
200,5.35737,86,1.413371,0.05992544,150
200,5.35737,84,1.414483,0.8623433,153
200,5.35737,98,1.10808,0.01671481,156
200,1.78579,84,0.9460199,0.9889257,159
200,1.78579,108,1.215839,0.5858607,162
200,7.14316,104,1.035315,0.09758437,165
200,7.14316,96,0.8843122,0.7042558,168
200,7.14316,117,0.885839,0.6721589,236
200,3.57158,113,1.21327,0.7694027,239
200,7.14316,80,1.126859,0.3532146,242
200,1.09726,113,0.9331377,0.7694027,751
200,1.09726,113,0.9331377,0.7694027,754
200,2.19452,80,0.8666779,0.3532146,757
200,2.19452,80,0.8666779,0.3532146,760
200,0.54863,112,0.7621304,0.7082632,665
200,0.54863,112,0.7621304,0.7082632,669
200,1.64589,97,1.111653,0.9241724,672
200,1.64589,97,1.111653,0.9241724,675
200,1.64589,101,1.142461,0.1037982,678
200,1.64589,101,1.142461,0.1037982,681
200,2.74315,107,0.9354501,0.6428367,684
200,2.74315,107,0.9354501,0.6428367,687
200,2.74315,119,0.6260386,0.01841283,690
200,2.74315,119,0.6260386,0.01841283,693
200,1.64589,109,0.603543,0.8577317,696
200,1.64589,109,0.603543,0.8577317,699
200,1.64589,86,1.087037,0.05992544,702
200,1.64589,86,1.087037,0.05992544,705
200,1.64589,84,1.087893,0.8623433,708
200,1.64589,84,1.087893,0.8623433,711
200,1.64589,98,0.8522345,0.01671481,714
200,1.64589,98,0.8522345,0.01671481,717
200,0.54863,84,0.7275929,0.9889257,721
200,0.54863,84,0.7275929,0.9889257,724
200,0.54863,108,0.9351133,0.5858607,727
200,0.54863,108,0.9351133,0.5858607,730
