Day,MoveSpeed,MaxEnergy,Size,SensorProbability,EntityID
100,2.85564,109,1.044544,0.4167983,134
100,2.93514,108,1.065585,0.8110819,139
100,2.92065,89,0.8784093,0.5052971,142
100,2.27964,102,0.870488,0.5712937,145
100,1.66385,81,0.7107224,0.2656467,148
100,1.17424,111,1.145547,0.9793663,151
100,1.05656,111,0.6519176,0.100209,154
100,1.73247,88,0.8792208,0.8201692,157
100,1.9553,119,0.7680973,0.9720685,160
100,1.23618,92,0.9061602,0.8967323,163
200,6.28857,109,1.211925,0.4167983,134
200,5.5833,108,1.205986,0.8110819,139
200,6.0033,89,1.007161,0.5052971,142
200,4.68516,102,0.9980789,0.5712937,145
200,3.93855,81,0.8336016,0.2656467,148
200,2.05822,111,1.278028,0.9793663,151
200,2.66924,111,0.772285,0.100209,154
200,3.30144,88,0.9950665,0.8201692,157
200,3.44035,119,0.8569266,0.9720685,160
200,2.17006,92,1.010956,0.8967323,163
