Day,MoveSpeed,MaxEnergy,Size,SensorProbability,EntityID
100,1.957,113,1.038708,0.841029,134
100,7.2728,89,1.194281,0.8052677,139
100,1.43156,96,1.187291,0.6673332,142
100,6.72655,102,1.154171,0.5359498,145
100,7.8886,101,1.223781,0.6596543,148
100,3.98645,106,0.9639522,0.8721062,151
100,1.97784,117,0.8942096,0.8128631,154
100,5.9599,100,1.110106,0.7399731,157
100,3.11735,90,0.876089,0.6708143,160
100,3.6434,100,1.297269,0.6725071,163
100,0.57308,84,0.8368737,0.2094659,166
100,6.37475,113,1.144538,0.9374423,169
100,1.15017,93,0.7308719,0.551529,237
100,2.25872,101,1.077022,0.4124761,240
100,1.70048,111,0.748144,0.03184474,243
100,1.29714,81,0.8840027,0.531436,246
100,2.82745,82,0.8293744,0.08255029,249
100,1.39944,108,0.776781,0.2829547,252
100,7.50548,98,1.30432,0.5693298,255
100,1.13848,114,1.075196,0.3326098,258
