Day,MoveSpeed,MaxEnergy,Size,SensorProbability,SensorSize,WarningRange,EntityID
100,2,94,1.02587,0.2831229,20,10,134
100,4,98,1.183877,0.9822179,20,10,139
100,4,99,0.960834,0.6796898,20,10,142
100,3,117,1.238996,0.1291671,20,10,145
100,3,113,0.9936756,0.2648929,20,10,148
100,4,95,0.704082,0.7905639,20,10,151
100,5,113,1.088104,0.5781729,20,10,154
100,4,90,1.133953,0.6346334,20,10,157
100,4,110,0.9569872,0.5986933,20,10,160
100,5,87,1.222367,0.4808443,20,10,163
100,1,84,0.9565743,0.1352093,20,10,166
100,4,105,1.025852,0.7852116,20,10,169
100,5,81,1.08529,0.9728836,20,10,237
100,1,85,0.9974558,0.116111,20,10,240
100,4,87,0.6740212,0.5717483,20,10,243
100,3,113,0.8445698,0.422911,20,10,246
100,3,105,1.2921,0.9295578,20,10,249
100,4,87,0.9788643,0.2992212,20,10,252
100,3,102,0.7901244,0.4659484,20,10,255
100,4,115,1.103447,0.3672981,20,10,258
100,5,95,1.305291,0.9480486,20,10,261
100,5,89,1.212076,0.3000863,20,10,264
100,1,113,1.143801,0.7616837,20,10,267
100,4,116,0.9292631,0.539949,20,10,270
100,3,93,1.087494,0.6185181,20,10,273
100,1,84,1.186261,0.5215138,20,10,276
100,4,82,1.119335,0.7479609,20,10,279
100,2,93,0.692163,0.2656671,20,10,282
100,2,109,1.06581,0.3656476,20,10,285
100,2,106,0.8352342,0.6109638,20,10,288
200,2,94,1.215817,0.2831229,20,10,134
200,4,98,1.337048,0.9822179,20,10,139
200,4,99,1.10025,0.6796898,20,10,142
200,3,117,1.48255,0.1291671,20,10,145
200,3,113,1.177662,0.2648929,20,10,148
200,4,95,0.8062436,0.7905639,20,10,151
200,5,113,1.261698,0.5781729,20,10,154
200,4,90,1.314862,0.6346334,20,10,157
200,4,110,1.109663,0.5986933,20,10,160
200,5,87,1.433652,0.4808443,20,10,163
200,1,84,1.144612,0.1352093,20,10,166
200,4,105,1.174702,0.7852116,20,10,169
200,5,81,1.225706,0.9728836,20,10,237
200,1,85,1.193529,0.116111,20,10,240
200,4,87,0.7815535,0.5717483,20,10,243
200,3,113,0.9905527,0.422911,20,10,246
200,3,105,1.459273,0.9295578,20,10,249
200,4,87,1.160108,0.2992212,20,10,252
200,3,102,0.9266964,0.4659484,20,10,255
200,4,115,1.294177,0.3672981,20,10,258
200,5,95,1.474171,0.9480486,20,10,261
200,5,89,1.436501,0.3000863,20,10,264
200,1,113,1.309765,0.7616837,20,10,267
200,4,116,1.077516,0.539949,20,10,270
200,3,93,1.260991,0.6185181,20,10,273
200,1,84,1.375515,0.5215138,20,10,276
200,4,82,1.28175,0.7479609,20,10,279
200,2,93,0.8203222,0.2656671,20,10,282
200,2,109,1.250033,0.3656476,20,10,285
200,2,106,0.9684861,0.6109638,20,10,288
300,2,94,1.215817,0.2831229,20,10,134
300,4,98,1.337048,0.9822179,20,10,139
300,4,99,1.10025,0.6796898,20,10,142
300,3,117,1.48255,0.1291671,20,10,145
300,3,113,1.177662,0.2648929,20,10,148
300,4,95,0.8062436,0.7905639,20,10,151
300,5,113,1.261698,0.5781729,20,10,154
300,4,90,1.314862,0.6346334,20,10,157
300,4,110,1.109663,0.5986933,20,10,160
300,5,87,1.433652,0.4808443,20,10,163
300,1,84,1.144612,0.1352093,20,10,166
300,4,105,1.174702,0.7852116,20,10,169
300,5,81,1.225706,0.9728836,20,10,237
300,1,85,1.193529,0.116111,20,10,240
300,4,87,0.7815535,0.5717483,20,10,243
300,3,113,0.9905527,0.422911,20,10,246
300,3,105,1.459273,0.9295578,20,10,249
300,4,87,1.160108,0.2992212,20,10,252
300,3,102,0.9266964,0.4659484,20,10,255
300,4,115,1.294177,0.3672981,20,10,258
300,5,95,1.474171,0.9480486,20,10,261
300,5,89,1.436501,0.3000863,20,10,264
300,1,113,1.309765,0.7616837,20,10,267
300,4,116,1.077516,0.539949,20,10,270
300,3,93,1.260991,0.6185181,20,10,273
300,1,84,1.375515,0.5215138,20,10,276
300,4,82,1.28175,0.7479609,20,10,279
300,2,93,0.8203222,0.2656671,20,10,282
300,2,109,1.250033,0.3656476,20,10,285
300,2,106,0.9684861,0.6109638,20,10,288
300,4,98,1.048218,0.9822179,20,10,409
300,5,81,0.9609281,0.9728836,20,10,414
300,3,105,1.144039,0.9295578,20,10,417
300,5,95,1.155719,0.9480486,20,10,420
300,4,99,0.8349766,0.6796898,20,10,410
300,4,95,0.6118559,0.7905639,20,10,426
300,4,105,0.8914779,0.7852116,20,10,429
300,1,113,0.9939771,0.7616837,20,10,432
300,4,82,0.972716,0.7479609,20,10,435
300,5,113,0.9292973,0.5781729,20,10,412
300,4,90,0.9684549,0.6346334,20,10,441
300,4,110,0.8173171,0.5986933,20,10,444
300,4,87,0.5756494,0.5717483,20,10,447
300,4,116,0.7936393,0.539949,20,10,450
300,2,93,0.5726877,0.2656671,20,10,510
300,1,84,1.013129,0.5215138,20,10,456
300,2,106,0.7133337,0.6109638,20,10,459
300,5,87,1.026995,0.4808443,20,10,424
300,3,113,0.7095817,0.422911,20,10,465
300,3,102,0.6638383,0.4659484,20,10,468
300,4,115,0.9270827,0.3672981,20,10,471
300,4,115,0.9270827,0.3672981,20,10,474
300,2,109,0.8954605,0.3656476,20,10,477
300,2,109,0.8954605,0.3656476,20,10,480
300,2,94,0.8487929,0.2831229,20,10,439
300,2,94,0.8487929,0.2831229,20,10,486
300,3,113,0.8221558,0.2648929,20,10,489
300,3,113,0.8221558,0.2648929,20,10,492
300,4,87,0.8099011,0.2992212,20,10,495
300,4,87,0.8099011,0.2992212,20,10,498
300,5,89,1.002857,0.3000863,20,10,501
300,5,89,1.002857,0.3000863,20,10,504
300,2,93,0.5726877,0.2656671,20,10,507
