Day,MoveSpeed,MaxEnergy,Size,SensorProbability,SensorSize,WarningRange,EntityID
100,3,84,0.8115345,0.1118822,22.9096,12.9096,1010
200,3,84,0.9673934,0.1118822,22.9096,12.9096,1010
300,3,84,0.9906111,0.1118822,22.9096,12.9096,1010
400,3,84,0.9906111,0.1118822,22.9096,12.9096,1010
400,3,84,0.8131987,0.1118822,22.9096,12.9096,1024
400,3,84,0.8131987,0.1118822,22.9096,12.9096,1036
400,3,84,0.6631034,0.1118822,22.9096,12.9096,1139
400,3,84,0.6631034,0.1118822,22.9096,12.9096,1078
500,3,84,0.9906111,0.1118822,22.9096,12.9096,1010
500,3,84,0.9800336,0.1118822,22.9096,12.9096,1024
500,3,84,0.9800336,0.1118822,22.9096,12.9096,1036
500,3,84,0.8299388,0.1118822,22.9096,12.9096,1139
500,3,84,0.8299388,0.1118822,22.9096,12.9096,1078
