Day,MoveSpeed,MaxEnergy,Size,SensorProbability,SensorSize,WarningRange,EntityID
100,5,87,1.150128,0.5059581,21.49275,11.49275,378
100,5,113,1.130892,0.222502,19.83216,9.83216,383
100,2,107,1.267978,0.6929644,23.31456,13.31456,386
100,3,97,1.058142,0.892181,22.0221,12.0221,389
100,5,115,0.9726957,0.1352931,16.30232,6.302317,392
100,3,113,1.029965,0.0382936,18.40841,8.408406,395
100,2,115,0.8668913,0.3641578,16.04133,6.041328,398
100,4,119,0.7273405,0.9125766,19.06342,9.063416,401
100,5,98,0.9699136,0.8082128,20.4634,10.4634,404
100,1,114,1.083002,0.695836,19.18773,9.187729,407
100,3,80,0.832602,0.979351,16.92297,6.922974,410
100,5,89,1.15074,0.1197059,18.11428,8.114279,413
100,1,110,0.9335263,0.7878171,22.79776,12.79776,416
100,1,116,0.6673669,0.412097,15.3502,5.350197,419
100,4,106,0.9861405,0.5128888,23.88298,13.88298,422
100,1,102,1.01652,0.1012577,21.39423,11.39423,425
100,1,80,1.133932,0.2533226,16.87902,6.879017,428
100,3,83,0.8375899,0.3974121,23.19526,13.19526,431
100,4,113,0.958696,0.89029,20.51017,10.51017,434
100,1,96,1.034386,0.4721614,16.88493,6.884933,437
