Day,MoveSpeed,MaxEnergy,Size,SensorProbability,EntityID
100,3.20532,112,1.027914,0.3535348,416
100,3.20532,118,0.7845995,0.1576813,419
100,2.13688,107,0.9284528,0.8812094,422
100,4.27376,118,1.255689,0.5785196,425
100,2.13688,105,0.883181,0.4502546,428
100,1.06844,100,0.7921097,0.5610964,431
100,4.27376,107,1.079384,0.3011193,434
100,5.3422,88,0.8949256,0.9545159,437
100,5.3422,95,1.051523,0.3751819,440
100,2.13688,98,1.041561,0.7850235,443
100,5.3422,96,0.7930377,0.906233,446
100,3.20532,94,0.6928483,0.1663855,449
100,4.27376,98,0.8114229,0.09006047,452
100,1.06844,98,0.7964882,0.09230745,455
100,3.20532,116,0.925046,0.8100239,458
100,3.20532,98,0.7151174,0.58231,461
100,2.13688,112,0.8897037,0.2877125,464
100,4.27376,118,0.7706376,0.5398605,467
100,5.3422,83,0.9913796,0.6980225,374
100,5.3422,111,0.9110888,0.8927383,377
100,2.13688,97,0.6984219,0.02890682,380
100,3.20532,95,1.12854,0.8273481,383
100,2.13688,90,1.017748,0.4456437,386
100,1.06844,119,0.9082478,0.06833529,389
100,2.13688,106,0.9983545,0.2393755,392
100,1.06844,101,1.047783,0.5743555,395
100,3.20532,93,0.7137495,0.864777,398
100,2.13688,101,0.7349174,0.1575539,401
100,1.06844,104,0.9997206,0.2596797,404
100,4.27376,101,1.036726,0.7141752,407
100,5.3422,118,1.272757,0.933032,410
100,3.20532,99,0.7874016,0.3430033,413
100,4.27376,87,0.6649136,0.240507,320
100,1.06844,100,1.157716,0.7126473,323
100,4.27376,96,0.6682204,0.07552898,326
100,1.06844,86,1.19983,0.2420491,329
100,1.06844,110,0.9713756,0.7541952,332
100,3.20532,81,0.6651173,0.6905689,335
100,3.20532,85,0.8224534,0.3312855,338
100,3.20532,81,0.8054394,0.2555361,341
100,4.27376,87,0.8962656,0.3908569,344
100,1.06844,80,0.9560097,0.1265026,347
100,4.27376,117,0.9686939,0.0136869,350
100,4.27376,119,0.8463662,0.7658552,353
100,5.3422,85,1.090454,0.8895369,356
100,3.20532,83,1.160015,0.190887,359
100,5.3422,101,0.9646413,0.5359029,362
100,2.13688,103,1.232458,0.4695646,365
100,4.27376,103,1.062298,0.6614373,368
100,1.06844,97,0.6598586,0.2995898,371
200,5.34153,112,1.186019,0.3535348,416
200,5.34153,118,0.9052796,0.1576813,419
200,3.56102,107,1.071259,0.8812094,422
200,7.12204,118,1.448828,0.5785196,425
200,3.56102,105,1.019024,0.4502546,428
200,1.78051,100,0.913945,0.5610964,431
200,7.12204,107,1.245405,0.3011193,434
200,8.90255,88,1.032575,0.9545159,437
200,8.90255,95,1.213259,0.3751819,440
200,3.56102,98,1.201765,0.7850235,443
