Day,MoveSpeed,MaxEnergy,Size,SensorProbability,SensorSize,WarningRange,EntityID
100,2,93,1.339367,0.8540515,21.69876,11.69876,620
100,2,105,0.9940028,0.2311203,18.31021,8.310206,625
100,2,86,0.8709615,0.8416443,17.66782,7.667818,628
100,3,102,0.801334,0.454281,18.30484,8.304844,631
100,1,81,1.264218,0.4298159,16.20176,6.201758,634
100,1,119,1.23307,0.7081869,15.5195,5.519499,637
100,3,90,0.8605304,0.78399,15.75252,5.752524,640
100,5,83,0.6717587,0.05673802,21.10774,11.10774,643
100,1,105,0.9361408,0.8407108,22.46826,12.46826,646
100,3,115,0.7071658,0.4178112,22.57534,12.57534,649
100,2,87,1.214939,0.4506022,18.16106,8.161056,652
100,2,108,1.196785,0.1970921,22.46919,12.46919,655
100,3,91,0.9072539,0.4664512,23.74854,13.74854,658
100,3,116,1.23151,0.8576648,21.0925,11.0925,661
100,4,82,1.254782,0.9346439,19.89751,9.897511,664
100,3,97,0.748825,0.2933943,20.62663,10.62663,667
100,5,84,0.8501899,0.8076612,22.75253,12.75253,670
100,1,104,1.119452,0.3089046,19.41867,9.418667,673
100,3,86,1.272909,0.3103342,17.69019,7.690187,676
100,3,88,0.9081209,0.09116161,23.31142,13.31142,679
100,5,97,0.8161651,0.2521693,22.77106,12.77106,682
100,4,112,1.076766,0.764864,22.88361,12.88361,685
100,5,98,0.9624712,0.4650351,21.93046,11.93046,688
100,1,96,0.9226008,0.8327519,24.92219,14.92219,691
100,5,106,1.099769,0.6572853,19.56178,9.561783,694
100,4,88,0.863625,0.5881622,21.71343,11.71343,697
100,4,119,1.176302,0.8612086,19.53913,9.539127,700
100,4,96,0.7456082,0.07724142,16.4204,6.420397,703
100,1,97,0.6501223,0.2597988,16.53312,6.533115,706
100,4,101,1.016178,0.6903057,23.82281,13.82281,709
200,2,93,1.49529,0.8540515,21.69876,11.69876,620
200,2,105,1.166541,0.2311203,18.31021,8.310206,625
200,2,86,0.9723549,0.8416443,17.66782,7.667818,628
200,3,102,0.9303068,0.454281,18.30484,8.304844,631
200,1,81,1.467691,0.4298159,16.20176,6.201758,634
200,1,119,1.396458,0.7081869,15.5195,5.519499,637
200,3,90,0.9745549,0.78399,15.75252,5.752524,640
200,5,83,0.7962383,0.05673802,21.10774,11.10774,643
200,1,105,1.045122,0.8407108,22.46826,12.46826,646
200,3,115,0.8209825,0.4178112,22.57534,12.57534,649
200,2,87,1.410481,0.4506022,18.16106,8.161056,652
200,2,108,1.404523,0.1970921,22.46919,12.46919,655
200,3,91,1.053274,0.4664512,23.74854,13.74854,658
200,3,116,1.374877,0.8576648,21.0925,11.0925,661
200,4,82,1.400858,0.9346439,19.89751,9.897511,664
200,3,97,0.8788056,0.2933943,20.62663,10.62663,667
200,5,84,0.9628442,0.8076612,22.75253,12.75253,670
200,1,104,1.313766,0.3089046,19.41867,9.418667,673
200,3,86,1.49386,0.3103342,17.69019,7.690187,676
200,3,88,1.076399,0.09116161,23.31142,13.31142,679
200,5,97,0.9578347,0.2521693,22.77106,12.77106,682
200,4,112,1.219443,0.764864,22.88361,12.88361,685
200,5,98,1.117379,0.4650351,21.93046,11.93046,688
200,1,96,1.04485,0.8327519,24.92219,14.92219,691
200,5,106,1.261763,0.6572853,19.56178,9.561783,694
200,4,88,0.9908359,0.5881622,21.71343,11.71343,697
200,4,119,1.313242,0.8612086,19.53913,9.539127,700
200,4,96,0.8837724,0.07724142,16.4204,6.420397,703
200,1,97,0.7629703,0.2597988,16.53312,6.533115,706
200,4,101,1.150827,0.6903057,23.82281,13.82281,709
300,2,93,1.49529,0.8540515,21.69876,11.69876,620
300,2,105,1.166541,0.2311203,18.31021,8.310206,625
300,2,86,0.9723549,0.8416443,17.66782,7.667818,628
300,3,102,0.9303068,0.454281,18.30484,8.304844,631
300,1,81,1.467691,0.4298159,16.20176,6.201758,634
300,1,119,1.396458,0.7081869,15.5195,5.519499,637
300,3,90,0.9745549,0.78399,15.75252,5.752524,640
300,5,83,0.7962383,0.05673802,21.10774,11.10774,643
300,1,105,1.045122,0.8407108,22.46826,12.46826,646
300,3,115,0.8209825,0.4178112,22.57534,12.57534,649
300,2,87,1.410481,0.4506022,18.16106,8.161056,652
300,2,108,1.404523,0.1970921,22.46919,12.46919,655
300,3,91,1.053274,0.4664512,23.74854,13.74854,658
300,3,116,1.374877,0.8576648,21.0925,11.0925,661
300,4,82,1.400858,0.9346439,19.89751,9.897511,664
300,3,97,0.8788056,0.2933943,20.62663,10.62663,667
300,5,84,0.9628442,0.8076612,22.75253,12.75253,670
300,1,104,1.313766,0.3089046,19.41867,9.418667,673
300,3,86,1.49386,0.3103342,17.69019,7.690187,676
300,3,88,1.076399,0.09116161,23.31142,13.31142,679
300,5,97,0.9578347,0.2521693,22.77106,12.77106,682
300,4,112,1.219443,0.764864,22.88361,12.88361,685
300,5,98,1.117379,0.4650351,21.93046,11.93046,688
300,1,96,1.04485,0.8327519,24.92219,14.92219,691
300,5,106,1.261763,0.6572853,19.56178,9.561783,694
300,4,88,0.9908359,0.5881622,21.71343,11.71343,697
300,4,119,1.313242,0.8612086,19.53913,9.539127,700
300,4,96,0.8837724,0.07724142,16.4204,6.420397,703
300,1,97,0.7629703,0.2597988,16.53312,6.533115,706
300,4,101,1.150827,0.6903057,23.82281,13.82281,709
300,2,93,1.266805,0.8540515,21.69876,11.69876,541
300,2,93,1.266805,0.8540515,21.69876,11.69876,987
300,2,86,0.8237761,0.8416443,17.66782,7.667818,990
300,2,86,0.8237761,0.8416443,17.66782,7.667818,993
300,3,115,0.6322911,0.4178112,22.57534,12.57534,1083
300,1,81,1.130363,0.4298159,16.20176,6.201758,1074
300,3,116,1.164791,0.8576648,21.0925,11.0925,1002
300,3,116,1.164791,0.8576648,21.0925,11.0925,1005
300,4,82,1.186803,0.9346439,19.89751,9.897511,1008
300,4,82,1.186803,0.9346439,19.89751,9.897511,1011
300,4,119,1.112575,0.8612086,19.53913,9.539127,1014
300,4,119,1.112575,0.8612086,19.53913,9.539127,1017
300,1,119,1.143353,0.7081869,15.5195,5.519499,567
300,1,119,1.143353,0.7081869,15.5195,5.519499,1023
300,3,90,0.7979195,0.78399,15.75252,5.752524,1026
300,3,90,0.7979195,0.78399,15.75252,5.752524,1029
300,5,84,0.7883314,0.8076612,22.75253,12.75253,1032
300,1,81,1.130363,0.4298159,16.20176,6.201758,1077
300,4,112,0.9984222,0.764864,22.88361,12.88361,1038
300,4,112,0.9984222,0.764864,22.88361,12.88361,1041
300,1,96,0.8554738,0.8327519,24.92219,14.92219,1044
300,1,96,0.8554738,0.8327519,24.92219,14.92219,1047
300,4,101,0.9422426,0.6903057,23.82281,13.82281,1050
300,4,101,0.9422426,0.6903057,23.82281,13.82281,1053
300,5,106,1.000844,0.6572853,19.56178,9.561783,1059
300,3,115,0.6322911,0.4178112,22.57534,12.57534,1080
300,4,88,0.7859413,0.5881622,21.71343,11.71343,1065
300,5,106,1.000844,0.6572853,19.56178,9.561783,985
300,3,102,0.7164888,0.454281,18.30484,8.304844,1021
300,2,87,1.086302,0.4506022,18.16106,8.161056,1086
300,2,87,1.086302,0.4506022,18.16106,8.161056,1089
300,3,91,0.811194,0.4664512,23.74854,13.74854,1092
300,3,91,0.811194,0.4664512,23.74854,13.74854,1095
300,5,98,0.8605649,0.4650351,21.93046,11.93046,1098
300,5,98,0.8605649,0.4650351,21.93046,11.93046,1101
300,2,105,0.8741637,0.2311203,18.31021,8.310206,1057
300,2,105,0.8741637,0.2311203,18.31021,8.310206,1108
300,2,108,1.052498,0.1970921,22.46919,12.46919,1111
300,2,108,1.052498,0.1970921,22.46919,12.46919,1114
300,3,97,0.6585451,0.2933943,20.62663,10.62663,1117
300,3,97,0.6585451,0.2933943,20.62663,10.62663,1120
300,1,104,0.9844883,0.3089046,19.41867,9.418667,1123
300,1,104,0.9844883,0.3089046,19.41867,9.418667,1126
300,3,86,1.119444,0.3103342,17.69019,7.690187,1129
300,3,86,1.119444,0.3103342,17.69019,7.690187,1132
300,5,97,0.7177666,0.2521693,22.77106,12.77106,1135
300,4,96,0.6455516,0.07724142,16.4204,6.420397,1163
300,1,97,0.5717422,0.2597988,16.53312,6.533115,1141
300,1,97,0.5717422,0.2597988,16.53312,6.533115,1144
300,5,83,0.5816123,0.05673802,21.10774,11.10774,1106
300,5,83,0.5816123,0.05673802,21.10774,11.10774,1151
300,3,88,0.786256,0.09116161,23.31142,13.31142,1154
300,3,88,0.786256,0.09116161,23.31142,13.31142,1157
300,4,96,0.6455516,0.07724142,16.4204,6.420397,1160
400,2,93,1.49529,0.8540515,21.69876,11.69876,620
400,2,105,1.166541,0.2311203,18.31021,8.310206,625
400,2,86,0.9723549,0.8416443,17.66782,7.667818,628
400,3,102,0.9303068,0.454281,18.30484,8.304844,631
400,1,81,1.467691,0.4298159,16.20176,6.201758,634
400,1,119,1.396458,0.7081869,15.5195,5.519499,637
400,3,90,0.9745549,0.78399,15.75252,5.752524,640
400,5,83,0.7962383,0.05673802,21.10774,11.10774,643
400,1,105,1.045122,0.8407108,22.46826,12.46826,646
400,3,115,0.8209825,0.4178112,22.57534,12.57534,649
400,2,93,1.49529,0.8540515,21.69876,11.69876,987
400,2,108,1.404523,0.1970921,22.46919,12.46919,655
400,3,91,1.053274,0.4664512,23.74854,13.74854,658
400,3,116,1.374877,0.8576648,21.0925,11.0925,661
400,4,82,1.400858,0.9346439,19.89751,9.897511,664
400,3,97,0.8788056,0.2933943,20.62663,10.62663,667
400,5,84,0.9628442,0.8076612,22.75253,12.75253,670
400,1,104,1.313766,0.3089046,19.41867,9.418667,673
400,3,86,1.49386,0.3103342,17.69019,7.690187,676
400,3,88,1.076399,0.09116161,23.31142,13.31142,679
400,5,97,0.9578347,0.2521693,22.77106,12.77106,682
400,4,112,1.219443,0.764864,22.88361,12.88361,685
400,5,98,1.117379,0.4650351,21.93046,11.93046,688
400,1,96,1.04485,0.8327519,24.92219,14.92219,691
400,5,106,1.261763,0.6572853,19.56178,9.561783,694
400,4,88,0.9908359,0.5881622,21.71343,11.71343,697
400,4,119,1.313242,0.8612086,19.53913,9.539127,700
400,4,96,0.8837724,0.07724142,16.4204,6.420397,703
400,1,97,0.7629703,0.2597988,16.53312,6.533115,706
400,4,101,1.150827,0.6903057,23.82281,13.82281,709
400,2,93,1.49529,0.8540515,21.69876,11.69876,541
400,2,108,1.302059,0.1970921,22.46919,12.46919,1277
400,2,86,0.9723549,0.8416443,17.66782,7.667818,993
400,3,115,0.8209825,0.4178112,22.57534,12.57534,1083
400,1,81,1.467691,0.4298159,16.20176,6.201758,1074
400,3,116,1.374877,0.8576648,21.0925,11.0925,1002
400,3,116,1.374877,0.8576648,21.0925,11.0925,1005
400,4,82,1.400858,0.9346439,19.89751,9.897511,1008
400,4,82,1.400858,0.9346439,19.89751,9.897511,1011
400,4,119,1.313242,0.8612086,19.53913,9.539127,1014
400,4,119,1.313242,0.8612086,19.53913,9.539127,1017
400,1,119,1.396458,0.7081869,15.5195,5.519499,567
400,1,119,1.396458,0.7081869,15.5195,5.519499,1023
400,3,90,0.9745549,0.78399,15.75252,5.752524,1026
400,3,90,0.9745549,0.78399,15.75252,5.752524,1029
400,4,119,1.313242,0.8612086,19.53913,9.539127,1181
400,1,81,1.467691,0.4298159,16.20176,6.201758,1077
400,4,112,1.219443,0.764864,22.88361,12.88361,1038
400,4,112,1.219443,0.764864,22.88361,12.88361,1041
400,1,96,1.04485,0.8327519,24.92219,14.92219,1044
400,1,96,1.04485,0.8327519,24.92219,14.92219,1047
400,4,101,1.150827,0.6903057,23.82281,13.82281,1050
400,4,101,1.150827,0.6903057,23.82281,13.82281,1053
400,5,106,1.261763,0.6572853,19.56178,9.561783,1059
400,3,115,0.8209825,0.4178112,22.57534,12.57534,1080
400,4,88,0.9908359,0.5881622,21.71343,11.71343,1065
400,5,106,1.261763,0.6572853,19.56178,9.561783,985
400,3,102,0.9303068,0.454281,18.30484,8.304844,1021
400,3,116,1.374877,0.8576648,21.0925,11.0925,1169
400,4,82,1.400858,0.9346439,19.89751,9.897511,1172
400,4,82,1.400858,0.9346439,19.89751,9.897511,1175
400,4,119,1.313242,0.8612086,19.53913,9.539127,1178
400,2,87,1.410481,0.4506022,18.16106,8.161056,1086
400,2,87,1.410481,0.4506022,18.16106,8.161056,1089
400,1,119,1.396458,0.7081869,15.5195,5.519499,997
400,3,91,1.053274,0.4664512,23.74854,13.74854,1095
400,5,98,1.117379,0.4650351,21.93046,11.93046,1098
400,5,98,1.117379,0.4650351,21.93046,11.93046,1101
400,2,105,1.166541,0.2311203,18.31021,8.310206,1057
400,2,105,1.166541,0.2311203,18.31021,8.310206,1108
400,2,108,1.404523,0.1970921,22.46919,12.46919,1111
400,2,108,1.404523,0.1970921,22.46919,12.46919,1114
400,5,97,0.8881079,0.2521693,22.77106,12.77106,1271
400,3,97,0.8788056,0.2933943,20.62663,10.62663,1120
400,1,104,1.313766,0.3089046,19.41867,9.418667,1123
400,1,104,1.313766,0.3089046,19.41867,9.418667,1126
400,3,86,1.49386,0.3103342,17.69019,7.690187,1129
400,3,86,1.49386,0.3103342,17.69019,7.690187,1132
400,2,108,1.302059,0.1970921,22.46919,12.46919,1263
400,4,96,0.8837724,0.07724142,16.4204,6.420397,1163
400,1,97,0.7629703,0.2597988,16.53312,6.533115,1141
400,3,116,1.374877,0.8576648,21.0925,11.0925,1166
400,5,97,0.8881079,0.2521693,22.77106,12.77106,1257
400,2,86,0.9723549,0.8416443,17.66782,7.667818,1064
400,3,88,1.076399,0.09116161,23.31142,13.31142,1154
400,3,88,1.076399,0.09116161,23.31142,13.31142,1157
400,4,96,0.8837724,0.07724142,16.4204,6.420397,1160
400,2,93,1.49529,0.8540515,21.69876,11.69876,996
400,2,93,1.49529,0.8540515,21.69876,11.69876,1001
400,2,86,0.9723549,0.8416443,17.66782,7.667818,1037
400,3,86,1.385647,0.3103342,17.69019,7.690187,1265
400,1,119,1.396458,0.7081869,15.5195,5.519499,1184
400,3,90,0.9745549,0.78399,15.75252,5.752524,1187
400,3,90,0.9745549,0.78399,15.75252,5.752524,1190
400,5,84,0.9628442,0.8076612,22.75253,12.75253,1193
400,5,84,0.9628442,0.8076612,22.75253,12.75253,1196
400,4,112,1.219443,0.764864,22.88361,12.88361,1199
400,4,112,1.219443,0.764864,22.88361,12.88361,1202
400,1,96,1.04485,0.8327519,24.92219,14.92219,1205
400,1,96,1.04485,0.8327519,24.92219,14.92219,1208
400,4,101,1.150827,0.6903057,23.82281,13.82281,1211
400,4,101,1.150827,0.6903057,23.82281,13.82281,1214
400,5,106,1.261763,0.6572853,19.56178,9.561783,1220
400,4,88,0.9908359,0.5881622,21.71343,11.71343,1223
400,4,88,0.9908359,0.5881622,21.71343,11.71343,1226
400,3,86,1.385647,0.3103342,17.69019,7.690187,1251
400,3,115,0.7999829,0.4178112,22.57534,12.57534,1073
400,3,115,0.7999829,0.4178112,22.57534,12.57534,1139
400,1,81,1.429901,0.4298159,16.20176,6.201758,1092
400,1,81,1.429901,0.4298159,16.20176,6.201758,1229
400,3,91,1.025768,0.4664512,23.74854,13.74854,1094
400,3,91,1.025768,0.4664512,23.74854,13.74854,1235
400,5,98,1.088198,0.4650351,21.93046,11.93046,1238
400,5,98,1.088198,0.4650351,21.93046,11.93046,1241
400,1,104,1.218707,0.3089046,19.41867,9.418667,1259
400,1,104,1.218707,0.3089046,19.41867,9.418667,1151
400,3,97,0.8154854,0.2933943,20.62663,10.62663,1032
400,3,97,0.8154854,0.2933943,20.62663,10.62663,1153
400,2,105,1.082232,0.2311203,18.31021,8.310206,1033
400,2,105,1.082232,0.2311203,18.31021,8.310206,1253
400,1,97,0.7071116,0.2597988,16.53312,6.533115,1269
400,1,97,0.7071116,0.2597988,16.53312,6.533115,1283
400,4,96,0.7823278,0.07724142,16.4204,6.420397,1286
400,4,96,0.7823278,0.07724142,16.4204,6.420397,999
400,5,83,0.7047088,0.05673802,21.10774,11.10774,1217
400,3,88,0.9526648,0.09116161,23.31142,13.31142,1298
400,3,88,0.9526648,0.09116161,23.31142,13.31142,1295
400,3,116,1.034004,0.8576648,21.0925,11.0925,1137
400,3,116,1.034004,0.8576648,21.0925,11.0925,990
400,4,119,0.9875239,0.8612086,19.53913,9.539127,1292
400,4,119,0.9875239,0.8612086,19.53913,9.539127,991
400,3,90,0.6917155,0.78399,15.75252,5.752524,1106
400,3,90,0.6917155,0.78399,15.75252,5.752524,1148
400,4,112,0.8652326,0.764864,22.88361,12.88361,1305
400,4,112,0.8652326,0.764864,22.88361,12.88361,1117
400,5,84,0.6673611,0.8076612,22.75253,12.75253,652
400,5,84,0.6673611,0.8076612,22.75253,12.75253,1248
400,4,88,0.6671166,0.5881622,21.71343,11.71343,653
400,4,88,0.6671166,0.5881622,21.71343,11.71343,1311
400,5,106,0.8448601,0.6572853,19.56178,9.561783,1317
400,5,106,0.8448601,0.6572853,19.56178,9.561783,1119
500,4,82,1.400858,0.9346439,19.89751,9.897511,1358
500,3,86,1.49386,0.3103342,17.69019,7.690187,1535
500,2,93,1.49529,0.8540515,21.69876,11.69876,541
500,2,93,1.189677,0.8540515,21.69876,11.69876,632
500,1,81,1.467691,0.4298159,16.20176,6.201758,634
500,4,82,1.400858,0.9346439,19.89751,9.897511,1372
500,3,91,0.866505,0.4664512,23.74854,13.74854,1764
500,1,104,1.313766,0.3089046,19.41867,9.418667,1559
500,4,112,1.219443,0.764864,22.88361,12.88361,1662
500,3,115,0.8209825,0.4178112,22.57534,12.57534,649
500,2,93,1.49529,0.8540515,21.69876,11.69876,987
500,2,108,1.404523,0.1970921,22.46919,12.46919,655
500,3,91,1.053274,0.4664512,23.74854,13.74854,658
500,3,116,1.374877,0.8576648,21.0925,11.0925,661
500,4,82,1.400858,0.9346439,19.89751,9.897511,664
500,3,97,0.8788056,0.2933943,20.62663,10.62663,667
500,5,84,0.9628442,0.8076612,22.75253,12.75253,670
500,1,104,1.313766,0.3089046,19.41867,9.418667,673
500,3,86,1.49386,0.3103342,17.69019,7.690187,676
500,3,88,1.076399,0.09116161,23.31142,13.31142,679
500,1,81,1.209613,0.4298159,16.20176,6.201758,1747
500,4,112,1.219443,0.764864,22.88361,12.88361,685
500,5,98,1.117379,0.4650351,21.93046,11.93046,688
500,1,104,1.313766,0.3089046,19.41867,9.418667,1573
500,5,106,1.261763,0.6572853,19.56178,9.561783,694
500,4,88,0.9908359,0.5881622,21.71343,11.71343,697
500,4,119,1.313242,0.8612086,19.53913,9.539127,700
500,2,93,1.49529,0.8540515,21.69876,11.69876,1364
500,1,81,1.209613,0.4298159,16.20176,6.201758,1761
500,2,108,1.404523,0.1970921,22.46919,12.46919,1277
500,3,88,1.076399,0.09116161,23.31142,13.31142,1471
